labels,ENG,UKR,DEU,NLD,SPA,TUR,POR,ITA
prgmsgwpf1,Wrong platform! This is for:,Неправильна платформа! Це для:,"Falsche Plattform, das ist für:",Verkeerd platform!,¡Plataforma incorrecta! Esto es para:,Yanlış platform! Bu şunun içindir:,Plataforma errada! Isto é para:,Piattaforma errata! Questo è per:
prgmsgwpf3,Please replace SOUNDD.EXE .,"Будь ласка, замініть SOUNDD.EXE.",Bitte SOUNDD.EXE ersetzen.,Vervang SOUNDD.EXE,Reemplaza SOUNDD.EXE.,Lütfen SOUNDD.EXE’yi değiştirin.,Substitua SOUNDD.EXE.,Sostiuisci SOUNDD.EXE.
trymentxt1, Open mixer..., Відкрити мікшер…, Mixer öffnen..., Mixer openen..., Abrir mezclador..., Mikseri aç…, Mixer..., Apri Mixer…
trymentxt2, Open sound settings..., Відкрити параметри звуку…, Einstellungen öffnen..., Geluidsinstellingen..., Abrir opciones de sonido..., Ses ayarlarını aç…, Configurações de som..., Apri impostazioni audio…
trymentxt3, Mute effects, Вимкнути ефекти, Effekte stumm, Effecten dempen, Silenciar efectos, Efektleri sustur, Silenciar efeitos, Silenzia gli effetti
trymentxt4, Mute music, Вимкнути музику, Musik stumm, Muziek dempen, Silenciar música, Müziği sustur, Silenciar música, Silenzia la musica
trymentxt5, Quit Sound Daemon, Закрити службу звуку, Sound Daemon beenden, Sound Daemon afsluiten, Cerrar, Ses Servisi’ni Kapat, Sair do Sound Daemon, Esci dal servizio audio
stamentxt1,File,Файл,Datei,Bestand,Archivo,Dosya,Arquivo,File
stamentxt2,?,?,?,?,?,?,?,?
stamentxt11, Save settings, Зберегти параметри, Einstellungen speichern, Instellingen opslaan, Guardar opciones, Ayarları kaydet, Salvar configurações, Salva impostazioni
stamentxt12, Hide on startup, Сховати при старті, Beim Start ausblenden, Verbergen bij opstarten, Ocultar al inicio, Açılışta gizle, Ocultar ao iniciar, Nascondi all'avvio
stamentxt13, Quit, Вийти, Beenden, Afsluiten, Cerrar, Çık, Sair, Esci dal servizio audio
stamentxt21, Help topics, Довідка, Hilfethemen, Help, Ayuda, Yardım konuları, Tópicos de ajuda, Aiuto
stamentxt22, About, Про програму, Info, Over, Acerca de, Hakkında, Sobre, Info
statxttit,Sound daemon,Служба звуку,Sound Daemon,Sound Daemon,Sound Daemon,Ses servisi,Sound Daemon,Servizio audio
statxtbta,Hide,Сховати,Ausblenden,Verbergen,Ocultar,Gizle,Ocultar,Nascondi
statxtbtb,Save,Зберегти,Speichern,Opslaan,Guardar,Kaydet,Salvar,Salva
statxttba1,Mixer,Мікшер,Mixer,Mixer,Mezclador,Mikser,Mixer,Mixer
statxttba2,System sounds,Системні звуки,Systemklänge,Systeemgeluiden,Sistema,Sistem sesleri,Sons do sistema,Souni di sistema
statxttba3,Settings,Параметри,Einstell.,Opties,Opciones,Ayarlar,Config.,Impostazioni
statxttba4,Stats,Стат.,Statistiken,Statistieken,Estadísticas,İstatistikler,Estatístic.,Stats
systxtevt,Events:,Події:,Ereignis:,Gebeurtenissen:,Eventos:,Olaylar:,Eventos:,Eventi:
systxtsnd,Sound:,Звук:,Klang:,Geluid:,Sonido:,Ses:,Som:,Suono:
systxttst,>> Test,>> Перевірити,>> Test,>> Test,>> Probar,>> Test,>> Testar,>> Test
systxtsta,SymbOS startup sound,Звук запуску SymbOS,SymbOS Startsound,SymbOS opstartgeluid,Sonido de inicio,SymbOS açılış sesi,Som de inicialização,Suono di avvio
systxtsht,Sound scheme,Звукова схема,Soundschema,Geluidsschema,Esquema de sonido,Sound şeması,Esquema de som,Schema suono
systxtshl,Load...,Завантаж.,Laden...,Laden...,Cargar...,Yükle…,Carregar...,Carica…
systxtshs,Save...,Зберегти,Sichern...,Opslaan...,Guardar...,Kaydet…,Salvar...,Salva…
systxtshd,Default,Стандарт.,Standard,Standaard,Estándar ,Varsayılan,Padrão,Default
systxte00,Notification - hint,Підказка,Meldung - Hinweis,Melding - hint,Notificación - consejo,Bildirim - ipucu,Notificação - dica,Notifica - suggerimento
systxte01,Notification - warning,Попередження,Meldung - Warnung,Melding - waarschuwing,Notificación - aviso,Bildirim - uyarı,Notificação - aviso,Notifica - avviso
systxte02,Notification - message,Повідомлення,Meldung - Allgemein,Melding - bericht,Notificación - mensaje ,Bildirim - mesaj,Notificação - mensagem,Notifica - messaggio
systxte03,Window - open,Вікно – відкриття,Fenster - öffnen,Venster - openen,Ventana - abrir,Pencere - aç,Janela - abrir,Finestra - apri
systxte08,Window - close,Вікно – закриття,Fenster - schließen,Venster - sluiten,Ventana - cerrar,Pencere - kapat,Janela - fechar,Finestra - chiudi
systxte04,Window - top,Вікно – поверх усіх,Fenster - nach oben,Venster - boven,Ventana - arriba,Pencere - üstte,Janela - topo,Finestra - alto
systxte05,Window - restore,Вікно – відновити,Fenster - wiederherstellen,Venster - herstellen,Ventana - restaurar,Pencere - geri al,Janela - restaurar,Finestra - ripristina
systxte06,Window - maximize,Розгорнути,Fenster - maximieren,Venster - maximaliseren,Ventana - maximizar,Pencere - büyüt,Janela - maximizar,Finestra - ingrandisci
systxte07,Window - minimize,Згорнути,Fenster - minimieren,Venster - minimaliseren,Ventana - minimizar,Pencere - küçült,Janela - minimizar,Finestra - minimizza
systxte17,Window - move,Переміщення,Fenster - bewegen,Venster - verplaatsen,Ventana - mover,Pencere - taşı,Janela - mover,Finestra - muovi
systxte18,Window - resize,Зміна розміру,Fenster - Größe ändern,Venster - formaat wijzigen,Ventana - redimensionar,Pencere - boyutlandır,Janela - redimensionar,Finestra - ridimensiona
systxte09,Menu - open,Меню – відкриття,Menü - öffnen,Menu - openen,Menú - abrir,Menü - aç,Menu - abrir,Menu - apri
systxte10,Menu - entry hover,Меню – наведення,Menü - anwählen,Menu - item hover,Menú - entrada seleccionada,Menü - giriş üzerine gel,Menu - item sob cursor,Menu - voce al passaggio mouse
systxte11,Menu - entry clicked,Меню – вибір,Menü - klicken,Menu - item klik,Menú - entrada elegida,Menü - giriş tıkla,Menu - item clicado,Menu - voce selezionata
systxte12,Click - button/tab,Клац – кнопка/вкладка,Klick - Knopf/Reiter,Klik - knop/tab,Clic - botón/pestaña,Tıklama - button/tab,Clique - botão/aba,Click - bottone/tab
systxte13,Click - bitmap,Клац – зображення,Klick - Grafik,Klik - bitmap,Clic - mapa de bits,Tıklama - bitmap,Clique - bitmap,Click - immagine
systxte14,Click - slider,Клац – повзунок,Klick - Regler,Klik - schuif,Clic - deslizador,Tıklama - kaydırıcı,Clique - controle,Click - slider
systxte15,Click - list,Клац – список,Klick - Liste,Klik - lijst,Clic - listado,Tıklama - liste,Clique - lista,Click - lista
systxte16,Click - text,Клац – текст,Klick - Text,Klik - tekst,Clic - texto,Tıklama - metin,Clique - texto,Click - testo
systxts00,(None),(немає),(Nichts),(Geen),(Ninguno),(Hiçbiri),(Nenhum),(nessuno)
systxts01,Click 1,Клацання 1,Klick 1,Klik 1,Clic 1,Tıklama 1,Clique 1,Click 1
systxts02,Click 2,Клацання 2,Klick 2,Klik 2,Clic 2,Tıklama 2,Clique 2,Click 2
systxts03,Beep 1,Сигнал 1,Piep 1,Pieptoon 1,Pitido 1,Bip 1,Bipe 1,Beep 1
systxts04,Beep 2,Сигнал 2,Piep 2,Pieptoon 2,Pitido 2,Bip 2,Bipe 2,Beep 2
systxts05,Ring 1,Дзвінок 1,Klingeln 1,Bel 1,Timbre 1,Zil 1,Toque 1,Timbro 1
systxts06,Ring 2,Дзвінок 2,Klingeln 2,Bel 2,Timbre 2,Zil 2,Toque 2,Timbro 2
systxts07,Alert 1,Сповіщення 1,Alarm 1,Alarm 1,Alerta 1,Uyarı 1,Alerta 1,Allarme 1
systxts08,Alert 2,Сповіщення 2,Alarm 2,Alarm 2,Alerta 2,Uyarı 2,Alerta 2,Allarme 2
systxts09,Slide 1,Ковзання 1,Gleiten 1,Slide 1,Deslizador 1,Kayma 1,Deslizar 1,Slide 1
systxts10,Slide 2,Ковзання 2,Gleiten 2,Slide 2,Deslizador 2,Kayma 2,Deslizar 2,Slide 2
systxts11,Raise up,Вгору,Aufsteigen,Omhoog,Subir,Yükselt,Subir,Alza
systxts12,Raise down,Вниз,Absteigen,Omlaag,Bajar,Aşağı indir,Descer,Abbassa
systxts13,Pop up,Випливання,Aufploppen,Pop-up,Desplegar,Belirme,Aparecer,Pop up
systxts14,Shrink,Стискання,Schrumpfen,Verkleinen,Plegar,Küçülme,Encolher,Stringi
systxts15,Tick 1,Тик 1,Ticken 1,Tik 1,Tick 1,Tik 1,Tique 1,Tick 1
systxts16,Tick 2,Тик 2,Ticken 2,Tik 2,Tick 2,Tik 2,Tique 2,Tick 2
systxts17,Shoot,Постріл,Schießen,Schot,Disparo,Ateş etme,Disparo,Sparo
systxts18,Explosion,Вибух,Explosion,Explosie,Explosión,Patlama,Explosão,Esplosione
systxts19,Step,Крок,Schritt,Stap,Paso,Adım,Passo,Passo
systxts20,Lose,Програш,Verlieren,Verlies,Perder,Kaybetme,Perder,Perdi
systxts21,Win,Перемога,Gewinnen,Winst,Ganar,Kazanma,Ganhar,Vinci
volmentxtv,Volume,Гучність,Lautstärke,Volume,Volumen,Ses yüksekliği,Volume,Volume
volmentxt8,|||||||| max,|||||||| макс.,|||||||| max,|||||||| max,|||||||| máx,|||||||| maks,|||||||| máx,|||||||| max
volmentxt1,|      min,|      мін.,|      min,|      min,|      mín,|      min,|      mín,|      min
settxtchn,PSG effect channel,Канал ефектів PSG,PSG Effekt Kanal,PSG-Effect kanaal,Canal de efectos de PSG,PSG efekt kanalı,Canal de efeitos PSG,PSG canale effetti
settxtch0,use all,Все,Alle,Alles,Todos,Hepsini,usar todos,Usa tutti
settxtch1,left,лівий,Links,Links,izq.,sol,esq.,sx
settxtch2,middle,центр.,Zentral,Midden,central,orta,central,centro
settxtch3,right,правий,Rechts,Rechts,der.,sağ,dir.,destra
settxtssf,System sound file,Файл системних звуків,Systemsound-Datei,Systeemgeluid,Sonido de sistema,Sistem ses dosyası,Arquivo de som do sistema,Suono di sistema
settxtsmo,Disable music,Вимкнути музику,Musik deaktivieren,Muziek uit,Desactivar música,Müziği devre dışı bırak,Desativar música,Disattiva musica
statxtmfr,Memory usage,Використання пам'яті,Speichernutzung,Geheugen,Uso de memoria,Bellek kullanımı,Uso de memória,Memoria utilizzata
statxtmtt,Total,Разом:,Gesamt,Totaal,Total,Toplam,Total,Totale
statxtmtm,Music,Музика:,Musik,Muziek,Música,Müzik,Música,Musica
statxtmtx,Effects,Ефекти:,Effekte,Effecten,Efectos,Efektler,Efeitos,Effetti
statxtmtf,Free,Вільно:,Frei,Vrij,Libre,Serbest bırak,Livre,Disponibile
statxtmmu,Clean-up music,Очистити музику,Musik bereinigen,Muziek opschonen,Eliminar músicas,Müziği temizle,Limpar músicas,Azzera musica
statxtmfx,Clean-up effects,Очистити ефекти,Effekte bereinigen,Effecten opschonen,Eliminar efectos,Efektleri temizle,Limpar efeitos,Azzera effetti
